pickup_zone,pickup_hour,trip_count
JFK Airport,9,12040
Upper East Side North,9,22501
Midtown East,19,25170
Penn Station/Madison Sq West,2,2550
Upper East Side North,10,23853
LaGuardia Airport,15,19836
Penn Station/Madison Sq West,23,12167
Penn Station/Madison Sq West,1,3829
Times Sq/Theatre District,6,2618
JFK Airport,8,12059
Upper East Side South,8,17199
Midtown East,3,723
Penn Station/Madison Sq West,14,17459
Times Sq/Theatre District,19,20262
LaGuardia Airport,22,15369
Upper East Side North,22,8194
Midtown Center,7,5199
Upper East Side North,11,25840
Upper East Side South,17,31199
Murray Hill,10,13861
JFK Airport,15,28720
Murray Hill,23,7465
Upper East Side South,23,8060
Penn Station/Madison Sq West,4,1407
LaGuardia Airport,9,12851
Upper East Side South,12,28696
Upper East Side North,13,27189
Times Sq/Theatre District,4,2249
Lincoln Square East,21,23518
Midtown East,21,16755
Lincoln Square East,23,13753
Midtown East,6,4912
Times Sq/Theatre District,13,14362
Upper East Side South,16,30498
Midtown Center,12,23786
Murray Hill,3,1037
Penn Station/Madison Sq West,3,1571
JFK Airport,22,31352
Lincoln Square East,4,365
Murray Hill,14,16598
Murray Hill,9,12772
LaGuardia Airport,20,16221
LaGuardia Airport,2,415
JFK Airport,0,17079
Upper East Side South,20,22541
Times Sq/Theatre District,21,22117
Midtown Center,23,12216
Upper East Side North,12,28243
Penn Station/Madison Sq West,16,15864
Murray Hill,1,2833
JFK Airport,7,17084
Murray Hill,11,15442
Lincoln Square East,15,17709
Murray Hill,20,15476
Lincoln Square East,10,12751
Upper East Side South,13,29060
Lincoln Square East,22,21100
Midtown East,22,12504
LaGuardia Airport,4,103
Midtown East,0,4316
Midtown Center,5,965
Midtown East,14,19724
Midtown East,17,26862
Upper East Side North,18,28535
LaGuardia Airport,19,18592
Midtown Center,20,26402
Upper East Side North,2,396
Times Sq/Theatre District,9,10410
Upper East Side South,11,25752
Upper East Side North,14,28468
Upper East Side South,18,31172
LaGuardia Airport,23,17459
Upper East Side South,7,10809
Midtown Center,16,32833
Murray Hill,17,19058
Midtown Center,18,37907
JFK Airport,23,27052
Midtown Center,1,2327
Upper East Side South,10,22836
Upper East Side North,5,825
Upper East Side South,3,374
JFK Airport,20,27611
Times Sq/Theatre District,23,15943
LaGuardia Airport,0,8499
Midtown East,12,17264
Penn Station/Madison Sq West,13,16809
Lincoln Square East,14,16884
Upper East Side South,21,21872
Lincoln Square East,1,1792
Penn Station/Madison Sq West,11,17598
Times Sq/Theatre District,16,19531
JFK Airport,1,7492
LaGuardia Airport,11,14651
Midtown Center,17,37092
Penn Station/Madison Sq West,17,19010
Lincoln Square East,7,6413
Lincoln Square East,3,384
JFK Airport,21,28934
Midtown East,11,17051
Times Sq/Theatre District,15,15042
Midtown East,4,720
Midtown East,8,12824
Midtown East,2,1158
Midtown East,5,1696
Midtown East,7,9415
Times Sq/Theatre District,1,5111
Lincoln Square East,2,815
Midtown Center,10,16551
Midtown East,15,18998
Times Sq/Theatre District,20,18401
Midtown Center,21,23524
Upper East Side South,1,1854
Murray Hill,15,16766
JFK Airport,3,1671
Upper East Side South,5,812
Lincoln Square East,13,16108
Times Sq/Theatre District,18,23035
Upper East Side South,0,3972
Times Sq/Theatre District,3,2408
Midtown Center,13,26148
Midtown Center,19,32329
Midtown East,20,20214
LaGuardia Airport,5,124
Upper East Side South,9,20323
Times Sq/Theatre District,11,13613
Penn Station/Madison Sq West,19,18726
LaGuardia Airport,21,17586
Murray Hill,4,828
Penn Station/Madison Sq West,5,3507
Penn Station/Madison Sq West,7,15666
JFK Airport,19,28345
Murray Hill,12,15866
Murray Hill,18,20688
Murray Hill,19,18641
Upper East Side North,0,1841
Lincoln Square East,8,10134
LaGuardia Airport,12,16328
Upper East Side South,14,32346
Upper East Side North,17,29372
Upper East Side North,1,826
Midtown Center,9,13103
Upper East Side North,19,20352
Murray Hill,21,12788
Lincoln Square East,5,771
LaGuardia Airport,10,15686
Penn Station/Madison Sq West,12,17927
JFK Airport,13,21170
LaGuardia Airport,16,18683
Midtown Center,22,20817
JFK Airport,14,27797
Upper East Side North,16,28965
Lincoln Square East,6,2114
LaGuardia Airport,8,7182
Penn Station/Madison Sq West,8,16382
Lincoln Square East,12,15608
Times Sq/Theatre District,8,7604
Penn Station/Madison Sq West,9,17466
Midtown East,10,15433
Lincoln Square East,11,13982
Murray Hill,16,16678
Midtown East,1,2234
Midtown Center,4,735
JFK Airport,4,1421
Upper East Side North,15,32938
Times Sq/Theatre District,2,2995
LaGuardia Airport,13,16996
Times Sq/Theatre District,14,15234
Lincoln Square East,16,18113
LaGuardia Airport,6,315
Midtown Center,8,9176
Penn Station/Madison Sq West,10,16453
Lincoln Square East,17,20073
Midtown East,18,28967
Upper East Side South,4,370
JFK Airport,6,15345
Murray Hill,8,10382
Upper East Side North,8,21284
JFK Airport,17,30199
Lincoln Square East,0,4798
Midtown Center,3,707
JFK Airport,5,5844
JFK Airport,11,12184
Times Sq/Theatre District,12,13555
Penn Station/Madison Sq West,21,15817
Midtown Center,11,21434
Midtown East,16,21065
LaGuardia Airport,17,17450
Murray Hill,0,4600
LaGuardia Airport,1,1975
Upper East Side North,3,232
Times Sq/Theatre District,5,1848
Penn Station/Madison Sq West,0,6305
Upper East Side North,7,14899
JFK Airport,12,15856
JFK Airport,16,30832
Upper East Side South,22,15248
Midtown Center,2,1064
Upper East Side South,2,780
Upper East Side North,6,4418
LaGuardia Airport,7,2959
Murray Hill,13,16053
Times Sq/Theatre District,22,24022
LaGuardia Airport,14,22317
Midtown Center,6,2330
Murray Hill,6,3270
Upper East Side North,21,12616
Midtown East,23,7722
LaGuardia Airport,3,186
Upper East Side South,15,31928
Lincoln Square East,18,22118
Upper East Side South,19,25911
Murray Hill,22,10859
Midtown Center,0,5371
Murray Hill,2,1657
Times Sq/Theatre District,10,12611
Times Sq/Theatre District,17,21720
Upper East Side North,20,15965
Times Sq/Theatre District,7,4877
Midtown East,9,14642
Midtown Center,14,29661
LaGuardia Airport,18,18736
Lincoln Square East,19,19319
Lincoln Square East,20,17025
Upper East Side North,4,323
JFK Airport,10,13365
Midtown Center,15,30401
Penn Station/Madison Sq West,20,15836
Times Sq/Theatre District,0,9346
Murray Hill,5,1208
Penn Station/Madison Sq West,6,11979
Lincoln Square East,9,11534
Penn Station/Madison Sq West,18,20224
JFK Airport,2,2207
Midtown East,13,18058
Penn Station/Madison Sq West,15,17333
JFK Airport,18,23966
Penn Station/Madison Sq West,22,13969
Upper East Side South,6,3133
Murray Hill,7,6811
Upper East Side North,23,3912
